ISO,Fungicides and Bactericides EcoToxicity freshwater,Insecticides Eco Toxicity freshwater,Herbicides Eco Toxicity freshwater,Rodenticides Eco Toxicity freshwater,P Fertiliser (P emissions to water) Eco Toxicity freshwater
LBN,8597.098772,8590.333813,436.2676939,37.03439047,1.2771E-15
LBR,6157.016929,11091.16197,300.9365992,24.75593366,8.23877E-17
LBY,18403.23843,33003.44487,899.2325478,74.15144088,8.83101E-15
LKA,14117.79049,15087.33128,676.3924012,61.62178546,0
LSO,9914.499828,17629.03383,484.3890755,40.14601417,4.37617E-16
LTU,2866.678353,3274.10327,142.790184,11.90268843,0
LUX,5766.31111,6322.837147,290.2756207,24.53881482,2.48558E-14
LVA,2866.678353,3274.10327,142.790184,11.90268843,5.57552E-16
MAR,18403.23843,33003.44487,899.2325478,74.15144088,2.33468E-14
MCO,5766.31111,6322.837147,290.2756207,24.53881482,4.15802E-14
MDA,5766.31111,6322.837147,290.2756207,24.53881482,1.98304E-15
MDG,18403.23843,33003.44487,899.2325478,74.15144088,1.25665E-15
MDV,14117.79049,15087.33128,676.3924012,61.62178546,4.94078E-14
MEX,20227.91497,24527.5843,1001.642375,88.78916962,1.35439E-16
MKD,5766.31111,6322.837147,290.2756207,24.53881482,3.42594E-15
MLI,6157.016929,11091.16197,300.9365992,24.75593366,1.03208E-15
MLT,5766.31111,6322.837147,290.2756207,24.53881482,1.62555E-15
MMR,32152.00794,31852.57793,1617.485013,141.505064,3.02481E-14
MNE,5766.31111,6322.837147,290.2756207,24.53881482,1.37049E-14
MNG,14117.79049,15087.33128,676.3924012,61.62178546,7.0259E-16
MOZ,18403.23843,33003.44487,899.2325478,74.15144088,1.48716E-14
MRT,6157.016929,11091.16197,300.9365992,24.75593366,1.48067E-14
MUS,18403.23843,33003.44487,899.2325478,74.15144088,7.74242E-16
MWI,18403.23843,33003.44487,899.2325478,74.15144088,2.65924E-15
MYS,32152.00794,31852.57793,1617.485013,141.505064,1.28097E-15
NAM,9914.499828,17629.03383,484.3890755,40.14601417,1.30762E-17
NER,6157.016929,11091.16197,300.9365992,24.75593366,5.5388E-16
NGA,6157.016929,11091.16197,300.9365992,24.75593366,5.91456E-15
NIC,20227.91497,24527.5843,1001.642375,88.78916962,3.68948E-15
NLD,5766.31111,6322.837147,290.2756207,24.53881482,6.12692E-16
NOR,2866.678353,3274.10327,142.790184,11.90268843,1.50654E-15
NPL,14117.79049,15087.33128,676.3924012,61.62178546,5.88433E-15
NZL,2501.492511,1539.608412,142.4944758,12.77038446,3.49311E-15
OMN,8597.098772,8590.333813,436.2676939,37.03439047,9.08262E-18
PAK,14117.79049,15087.33128,676.3924012,61.62178546,1.01101E-14
PAN,20227.91497,24527.5843,1001.642375,88.78916962,1.11704E-14
PER,47220.67066,50740.91104,2365.825063,226.903574,0
PHL,32152.00794,31852.57793,1617.485013,141.505064,0
PNG,3186.371211,2374.090932,173.0181115,20.18889117,2.31607E-14
POL,5766.31111,6322.837147,290.2756207,24.53881482,0
PRK,14117.79049,15087.33128,676.3924012,61.62178546,3.45895E-14
PRT,5766.31111,6322.837147,290.2756207,24.53881482,0
PRY,47220.67066,50740.91104,2365.825063,226.903574,0
QAT,8597.098772,8590.333813,436.2676939,37.03439047,0
ROU,5766.31111,6322.837147,290.2756207,24.53881482,0
RUS,5766.31111,6322.837147,290.2756207,24.53881482,0
RWA,18403.23843,33003.44487,899.2325478,74.15144088,0
SAU,8597.098772,8590.333813,436.2676939,37.03439047,0
SDN,,,,,0
SEN,6157.016929,11091.16197,300.9365992,24.75593366,0
SGP,32152.00794,31852.57793,1617.485013,141.505064,0
SLE,6157.016929,11091.16197,300.9365992,24.75593366,0
SLV,20227.91497,24527.5843,1001.642375,88.78916962,1.48218E-15
SMR,5766.31111,6322.837147,290.2756207,24.53881482,0
SOM,18403.23843,33003.44487,899.2325478,74.15144088,0
SRB,5766.31111,6322.837147,290.2756207,24.53881482,0
SSD,,,,,0
STP,6157.016929,11091.16197,300.9365992,24.75593366,0
SUR,47220.67066,50740.91104,2365.825063,226.903574,0
SVK,5766.31111,6322.837147,290.2756207,24.53881482,0
SVN,5766.31111,6322.837147,290.2756207,24.53881482,0
SWE,2866.678353,3274.10327,142.790184,11.90268843,0
SWZ,9914.499828,17629.03383,484.3890755,40.14601417,7.57079E-15
SYC,18403.23843,33003.44487,899.2325478,74.15144088,0
SYR,8597.098772,8590.333813,436.2676939,37.03439047,0
TCD,6157.016929,11091.16197,300.9365992,24.75593366,3.13921E-15
TGO,6157.016929,11091.16197,300.9365992,24.75593366,0
THA,32152.00794,31852.57793,1617.485013,141.505064,0
TJK,8597.098772,8590.333813,436.2676939,37.03439047,0
TKM,8597.098772,8590.333813,436.2676939,37.03439047,0
TTO,20227.91497,24527.5843,1001.642375,88.78916962,0
TUN,18403.23843,33003.44487,899.2325478,74.15144088,0
TUR,8597.098772,8590.333813,436.2676939,37.03439047,0
TZA,18403.23843,33003.44487,899.2325478,74.15144088,0
UGA,18403.23843,33003.44487,899.2325478,74.15144088,0
UKR,5766.31111,6322.837147,290.2756207,24.53881482,0
URY,47220.67066,50740.91104,2365.825063,226.903574,0
USA,7148.357383,8864.342775,354.2392518,29.89116104,0
UZB,8597.098772,8590.333813,436.2676939,37.03439047,0
VEN,47220.67066,50740.91104,2365.825063,226.903574,0
VNM,32152.00794,31852.57793,1617.485013,141.505064,0
VUT,3186.371211,2374.090932,173.0181115,20.18889117,0
WSM,2501.492511,1539.608412,142.4944758,12.77038446,0
YEM,8597.098772,8590.333813,436.2676939,37.03439047,0
ZAF,9914.499828,17629.03383,484.3890755,40.14601417,0
ZMB,18403.23843,33003.44487,899.2325478,74.15144088,0
ZWE,18403.23843,33003.44487,899.2325478,74.15144088,0
