ISO,Pentachlorophenol (PCP) Human Toxicity freshwater,Anthracene Human Toxicity freshwater,Fluoranthene Human Toxicity freshwater,Diuron Human Toxicity freshwater,Atrazine Human Toxicity freshwater,Dichloromethane_methylenechloride (CH2Cl2) Human Toxicity freshwater,"1,2-dichloroethane Human Toxicity freshwater",Hexachlorobutadiene Human Toxicity freshwater,"Tris (2,3-dibromopropyl) phosphate Human Toxicity freshwater",Benzene Human Toxicity freshwater,Naphthalene Human Toxicity freshwater,Isoproturon Human Toxicity freshwater,Trichlorobenzenes Human Toxicity freshwater,Hexachlorocyclohexane Human Toxicity freshwater,Pentachlorobenzene Human Toxicity freshwater,Alachlor Human Toxicity freshwater,Simazine Human Toxicity freshwater,Brominated diphenylethers (PBDE) Human Toxicity freshwater,Hexachlorobenzene Human Toxicity freshwater,Trifluralin Human Toxicity freshwater,Heptachlor Human Toxicity freshwater,Tributyltin Compounds Human Toxicity freshwater,Endosulfan Human Toxicity freshwater,Chloropyrifos Human Toxicity freshwater,n-nonylphenol (mixed isomers) Human Toxicity freshwater,TRI-2-Chloroethyl phosphate Human Toxicity freshwater
CHL,1.51977E-05,0.000330201,9.70338E-05,1.20669E-06,3.80742E-06,9.03321E-07,5.06837E-06,2.99232E-05,2.58464E-05,7.48987E-07,6.36227E-07,,,6.85738E-05,6.23374E-05,,5.43645E-06,4.351E-07,0.001428537,1.09909E-05,0.002406024,1.26002E-07,1.08977E-05,6.20388E-05,,1.16652E-06
CHN,9.66861E-06,0.000152411,4.90349E-05,7.12479E-07,1.94782E-06,8.76072E-07,2.02652E-06,2.13846E-05,1.14348E-05,3.81879E-07,4.40994E-07,,,4.16368E-05,4.90618E-05,,2.74939E-06,5.25073E-07,0.000915559,5.19067E-06,0.001222209,1.04731E-07,4.69343E-06,4.08916E-05,,1.21462E-05
CIV,1.485E-05,0.00039064,0.000119914,5.63317E-07,2.01294E-06,6.41201E-07,3.46974E-06,3.50369E-05,1.41511E-05,5.5113E-07,2.75847E-07,,,6.11129E-05,6.59127E-05,,2.85527E-06,1.2059E-07,0.001672268,1.34747E-05,0.002962954,4.90819E-08,1.22655E-05,6.71495E-05,,6.3142E-07
CMR,1.485E-05,0.00039064,0.000119914,5.63317E-07,2.01294E-06,6.41201E-07,3.46974E-06,3.50369E-05,1.41511E-05,5.5113E-07,2.75847E-07,,,6.11129E-05,6.59127E-05,,2.85527E-06,1.2059E-07,0.001672268,1.34747E-05,0.002962954,4.90819E-08,1.22655E-05,6.71495E-05,,6.3142E-07
COD,1.485E-05,0.00039064,0.000119914,5.63317E-07,2.01294E-06,6.41201E-07,3.46974E-06,3.50369E-05,1.41511E-05,5.5113E-07,2.75847E-07,,,6.11129E-05,6.59127E-05,,2.85527E-06,1.2059E-07,0.001672268,1.34747E-05,0.002962954,4.90819E-08,1.22655E-05,6.71495E-05,,6.3142E-07
COG,1.485E-05,0.00039064,0.000119914,5.63317E-07,2.01294E-06,6.41201E-07,3.46974E-06,3.50369E-05,1.41511E-05,5.5113E-07,2.75847E-07,,,6.11129E-05,6.59127E-05,,2.85527E-06,1.2059E-07,0.001672268,1.34747E-05,0.002962954,4.90819E-08,1.22655E-05,6.71495E-05,,6.3142E-07
COL,1.51977E-05,0.000330201,9.70338E-05,1.20669E-06,3.80742E-06,9.03321E-07,5.06837E-06,2.99232E-05,2.58464E-05,7.48987E-07,6.36227E-07,,,6.85738E-05,6.23374E-05,,5.43645E-06,4.351E-07,0.001428537,1.09909E-05,0.002406024,1.26002E-07,1.08977E-05,6.20388E-05,,1.16652E-06
CPV,1.485E-05,0.00039064,0.000119914,5.63317E-07,2.01294E-06,6.41201E-07,3.46974E-06,3.50369E-05,1.41511E-05,5.5113E-07,2.75847E-07,,,6.11129E-05,6.59127E-05,,2.85527E-06,1.2059E-07,0.001672268,1.34747E-05,0.002962954,4.90819E-08,1.22655E-05,6.71495E-05,,6.3142E-07
CRI,1.51977E-05,0.000330201,9.70338E-05,1.20669E-06,3.80742E-06,9.03321E-07,5.06837E-06,2.99232E-05,2.58464E-05,7.48987E-07,6.36227E-07,,,6.85738E-05,6.23374E-05,,5.43645E-06,4.351E-07,0.001428537,1.09909E-05,0.002406024,1.26002E-07,1.08977E-05,6.20388E-05,,1.16652E-06
CUB,1.51977E-05,0.000330201,9.70338E-05,1.20669E-06,3.80742E-06,9.03321E-07,5.06837E-06,2.99232E-05,2.58464E-05,7.48987E-07,6.36227E-07,,,6.85738E-05,6.23374E-05,,5.43645E-06,4.351E-07,0.001428537,1.09909E-05,0.002406024,1.26002E-07,1.08977E-05,6.20388E-05,,1.16652E-06
