ISO,Fungicides and Bactericides EcoToxicity Sea water,Insecticides Eco Toxicity Sea water,Herbicides Eco Toxicity Sea water,Rodenticides Eco Toxicity Sea water,N Fertiliser (N emission to marine system) Eco Toxicity Sea water,N Fertiliser (N emission to freshwater (river)) Eco Toxicity Sea water
IRN,14117.79049,15087.33128,676.3924012,61.62178546,1.91042E-18,7.38394E-20
IRQ,8597.098772,8590.333813,436.2676939,37.03439047,0,1.85856E-19
ISL,2866.678353,3274.10327,142.790184,11.90268843,5.25348E-17,0
ISR,8597.098772,8590.333813,436.2676939,37.03439047,6.0027E-18,7.29077E-19
ITA,5766.31111,6322.837147,290.2756207,24.53881482,1.06004E-17,1.08468E-17
JAM,7148.357383,8864.342775,354.2392518,29.89116104,5.64861E-18,3.2097E-18
JOR,8597.098772,8590.333813,436.2676939,37.03439047,6.0027E-18,4.48063E-20
JPN,14117.79049,15087.33128,676.3924012,61.62178546,3.64547E-18,1.63872E-18
KAZ,8597.098772,8590.333813,436.2676939,37.03439047,1.06004E-17,4.49227E-20
KEN,18403.23843,33003.44487,899.2325478,74.15144088,6.0027E-18,3.32832E-18
KGZ,8597.098772,8590.333813,436.2676939,37.03439047,1.06004E-17,5.37644E-18
KHM,32152.00794,31852.57793,1617.485013,141.505064,1.40355E-18,6.59857E-19
KOR,14117.79049,15087.33128,676.3924012,61.62178546,1.40355E-18,1.84247E-15
KWT,8597.098772,8590.333813,436.2676939,37.03439047,1.11549E-17,2.05635E-20
LAO,32152.00794,31852.57793,1617.485013,141.505064,3.1778E-17,2.73825E-20
LBN,8597.098772,8590.333813,436.2676939,37.03439047,6.0027E-18,2.34883E-18
LBR,6157.016929,11091.16197,300.9365992,24.75593366,6.0027E-18,3.04164E-20
LBY,18403.23843,33003.44487,899.2325478,74.15144088,1.35342E-17,1.07184E-17
LKA,14117.79049,15087.33128,676.3924012,61.62178546,2.49744E-18,1.40741E-18
LSO,9914.499828,17629.03383,484.3890755,40.14601417,1.35342E-17,7.40178E-20
LTU,2866.678353,3274.10327,142.790184,11.90268843,1.4878E-18,5.01261E-16
LUX,5766.31111,6322.837147,290.2756207,24.53881482,1.8372E-18,7.61955E-17
LVA,2866.678353,3274.10327,142.790184,11.90268843,7.92239E-18,8.72866E-16
MAR,18403.23843,33003.44487,899.2325478,74.15144088,1.60021E-18,4.01782E-17
MCO,5766.31111,6322.837147,290.2756207,24.53881482,1.06004E-17,5.37644E-18
MDA,5766.31111,6322.837147,290.2756207,24.53881482,1.06004E-17,2.17683E-18
MDG,18403.23843,33003.44487,899.2325478,74.15144088,2.00213E-18,8.19058E-21
MDV,14117.79049,15087.33128,676.3924012,61.62178546,3.28187E-18,2.05004E-18
MEX,20227.91497,24527.5843,1001.642375,88.78916962,3.51859E-18,8.33153E-17
MKD,5766.31111,6322.837147,290.2756207,24.53881482,2.02455E-18,2.61936E-17
MLI,6157.016929,11091.16197,300.9365992,24.75593366,6.0027E-18,7.15665E-19
MLT,5766.31111,6322.837147,290.2756207,24.53881482,1.91042E-18,2.52112E-18
MMR,32152.00794,31852.57793,1617.485013,141.505064,1.40355E-18,4.78799E-19
MNE,5766.31111,6322.837147,290.2756207,24.53881482,1.06004E-17,1.87988E-17
MNG,14117.79049,15087.33128,676.3924012,61.62178546,0,5.85371E-21
MOZ,18403.23843,33003.44487,899.2325478,74.15144088,0,1.23249E-19
MRT,6157.016929,11091.16197,300.9365992,24.75593366,6.0027E-18,1.29973E-20
MUS,18403.23843,33003.44487,899.2325478,74.15144088,9.97484E-19,2.52112E-18
MWI,18403.23843,33003.44487,899.2325478,74.15144088,2.26416E-18,2.51266E-19
MYS,32152.00794,31852.57793,1617.485013,141.505064,7.04124E-18,2.82673E-16
NAM,9914.499828,17629.03383,484.3890755,40.14601417,5.73976E-18,0
NER,6157.016929,11091.16197,300.9365992,24.75593366,6.17141E-18,5.00139E-20
NGA,6157.016929,11091.16197,300.9365992,24.75593366,9.22662E-19,1.16504E-17
NIC,20227.91497,24527.5843,1001.642375,88.78916962,1.35342E-17,2.75798E-20
NLD,5766.31111,6322.837147,290.2756207,24.53881482,7.27195E-18,1.16257E-14
NOR,2866.678353,3274.10327,142.790184,11.90268843,1.06004E-17,1.61057E-17
NPL,14117.79049,15087.33128,676.3924012,61.62178546,6.14927E-18,5.47345E-19
